"V: Abastecimiento de agua en la vivienda","Provincia","V: La vivienda tiene alumbrado eléctrico por red pública","","","","","","",""
"Red pública dentro de la vivienda","","Sí tiene alumbrado eléctrico","No tiene alumbrado eléctrico","Total","","","","",""
""," Madre de Dios prov. de Tahuamanu","93.22%","6.78%","100.00%","","","","",""
""," Madre de Dios prov. de Tambopata","96.42%","3.58%","100.00%","","","","",""
""," Moquegua, provincia: General Sánchez Cerro","88.97%","11.03%","100.00%","","","","",""
""," Moquegua, provincia: Ilo","98.03%","1.97%","100.00%","","","","",""
""," Moquegua, provincia: Mariscal Nieto","95.58%","4.42%","100.00%","","","","",""
""," Pasco, provincia: Daniel Alcides Carrión","82.52%","17.48%","100.00%","","","","",""
""," Pasco, provincia: Oxapampa","93.16%","6.84%","100.00%","","","","",""
""," Pasco, provincia: Pasco","95.06%","4.94%","100.00%","","","","",""
""," Piura, provincia: Ayabaca","85.68%","14.32%","100.00%","","","","",""
""," Piura, provincia: Huancabamba","90.88%","9.12%","100.00%","","","","",""
""," Piura, provincia: Morropón","92.50%","7.50%","100.00%","","","","",""
""," Piura, provincia: Paita","95.93%","4.07%","100.00%","","","","",""
""," Piura, provincia: Piura","94.79%","5.21%","100.00%","","","","",""
""," Piura, provincia: Sechura","92.03%","7.97%","100.00%","","","","",""
""," Piura, provincia: Sullana","95.32%","4.68%","100.00%","","","","",""
""," Piura, provincia: Talara","97.03%","2.97%","100.00%","","","","",""
""," Provincia Constitucional del Callao","99.50%","0.50%","100.00%","","","","",""
""," Puno, provincia: Azángaro","89.29%","10.71%","100.00%","","","","",""
""," Puno, provincia: Carabaya","86.09%","13.91%","100.00%","","","","",""
""," Puno, provincia: Chucuito","84.00%","16.00%","100.00%","","","","",""
""," Puno, provincia: El Collao","86.72%","13.28%","100.00%","","","","",""
""," Puno, provincia: Huancané","88.80%","11.20%","100.00%","","","","",""
""," Puno, provincia: Lampa","85.71%","14.29%","100.00%","","","","",""
""," Puno, provincia: Melgar","86.79%","13.21%","100.00%","","","","",""
""," Puno, provincia: Moho","86.33%","13.67%","100.00%","","","","",""
""," Puno, provincia: Puno","94.69%","5.31%","100.00%","","","","",""
""," Puno, provincia: San Antonio de Putina","90.06%","9.94%","100.00%","","","","",""
""," Puno, provincia: San Román","97.52%","2.48%","100.00%","","","","",""
""," Puno, provincia: Sandia","90.48%","9.52%","100.00%","","","","",""
""," Puno, provincia: Yunguyo","85.97%","14.03%","100.00%","","","","",""
""," San Martín, provincia: Bellavista","92.23%","7.77%","100.00%","","","","",""
""," San Martín, provincia: El Dorado","88.58%","11.42%","100.00%","","","","",""
""," San Martín, provincia: Huallaga","84.98%","15.02%","100.00%","","","","",""
""," San Martín, provincia: Lamas","93.69%","6.31%","100.00%","","","","",""
""," San Martín, provincia: Mariscal Cáceres","95.72%","4.28%","100.00%","","","","",""
""," San Martín, provincia: Moyobamba","95.45%","4.55%","100.00%","","","","",""
""," San Martín, provincia: Picota","94.31%","5.69%","100.00%","","","","",""
""," San Martín, provincia: Rioja","92.16%","7.84%","100.00%","","","","",""
""," San Martín, provincia: San Martín","98.19%","1.81%","100.00%","","","","",""
""," San Martín, provincia: Tocache","92.91%","7.09%","100.00%","","","","",""
""," Tacna, provincia: Candarave","86.80%","13.20%","100.00%","","","","",""
""," Tacna, provincia: Jorge Basadre","90.85%","9.15%","100.00%","","","","",""
""," Tacna, provincia: Tacna","97.03%","2.97%","100.00%","","","","",""
""," Tacna, provincia: Tarata","84.64%","15.36%","100.00%","","","","",""
""," Tumbes, provincia: Contralmirante Villar","93.29%","6.71%","100.00%","","","","",""
""," Tumbes, provincia: Tumbes","96.02%","3.98%","100.00%","","","","",""
""," Tumbes, provincia: Zarumilla","94.15%","5.85%","100.00%","","","","",""
""," Ucayali, provincia: Atalaya","88.84%","11.16%","100.00%","","","","",""
""," Ucayali, provincia: Coronel Portillo","93.85%","6.15%","100.00%","","","","",""
""," Ucayali, provincia: Padre Abad","90.25%","9.75%","100.00%","","","","",""
""," Ucayali, provincia: Purús","100.00%","-","100.00%","","","","",""
""," Total","95.93%","4.07%","100.00%","","","","",""
