"DEPARTAMENTO","PROVINCIA","UBIGEO","Esperanza_vida","Población","P_agua","P_luz","P_alfabeta","P_asegurada","P_presu_usado","Nivel_pobreza","Indice_corr","Ing_fam"
" LA LBERTAD","JULCAN","1305","70.4","28024","52.17","66.25","82.38","89.74","64","5","44.1","269.76"
" JUNÍN","JUNIN","1205","68.76","23133","73.75","79.93","84.98","76.97","78.5","3","49.2","555.29"
" CUSCO","LA CONVENCION","0809","78.08","147148","68.62","74.96","84.92","74.81","68.2","2","53.1","546.02"
" AYACUCHO","LA MAR","0505","82.24","70653","75.02","67.3","79.92","90.52","74.4","4","31.3","355.53"
" AREQUIPA","LA UNION","0408","93.11","12827","70.91","82.41","78.58","86.19","60.7","3","30.3","466.14"
" SAN MARTÍN","LAMAS","2205","71.76","81521","67.04","83.58","82.66","90.29","88.6","3","37.4","484.45"
" LAMBAYEQUE","LAMBAYEQUE","1403","74.73","300170","69.17","86.56","86.4","78.51","71.3","2","52.1","799.25"
" PUNO","LAMPA","2107","77.6","40856","36.86","57.51","85.27","76.06","74.9","4","43.5","493.84"
" HUÁNUCO","LAURICOCHA","1010","70.57","18913","50.51","52.46","87.61","91.25","84.2","3","37","555.49"
" HUÁNUCO","LEONCIO PRADO","1006","71.81","127793","44","70.47","85.96","76.8","73.1","2","37.5","723.65"
" LIMA","LIMA","1501","82.15","8574974","99.23","99.63","93.4","72.5","82.9","1","57.3","1483.89"
" LORETO","LORETO","1603","71.34","62437","11.03","62","78.07","88.65","80.8","4","48.3","473.67"
" AYACUCHO","LUCANAS","0506","63.4","51328","75.4","74.32","83.6","87.3","63.4","4","44.5","582.16"
" AMAZONAS","LUYA","0105","75.06","44436","85.52","88.08","81.81","90.05","76.5","4","33.3","452.95"
" MADRE DE DIOS","MANU","1702","76.32","18549","44.77","50.57","86.01","58.15","54.9","1","34.6","1019.62"
" HUÁNUCO","MARANON","1007","65.83","26622","50.14","52.54","79.21","89.35","79.5","3","38.1","398.68"
" SAN MARTÍN","MARISCAL CACERES","2206","72.53","64626","58.41","81.67","86.15","81.72","88.9","2","38.3","602.53"
" ÁNCASH","MARISCAL LUZURIAGA","0213","73.04","20284","58.38","74.61","71.59","95.83","65.3","5","39.5","261.91"
" MOQUEGUA","MARISCAL NIETO","1801","79.03","85349","75.44","83.53","90.61","79.43","67.5","1","61.2","1203.22"
" LORETO","MARISCAL RAMON CASTILLA","1604","65.57","49072","19.78","60.1","80.88","81.65","79","4","32.1","501.66"
" LORETO","MAYNAS","1601","72.5","479866","38.85","62.83","88.27","84.11","85.1","2","72.8","884.01"
" PUNO","MELGAR","2108","71.95","67138","58.46","69.71","85.5","79.98","68.5","4","43","518.50"
" PUNO","MOHO","2109","73.99","19753","80.31","77.49","80.64","77.35","81.4","4","36.2","196.87"
" PIURA","MORROPON","2004","73.23","162027","74.06","86.58","83.59","83.04","74.7","3","43.4","598.36"
" SAN MARTÍN","MOYOBAMBA","2201","74.78","122365","84.38","87.17","85.73","82.35","70.2","2","62.6","816.63"
" ICA","NAZCA","1103","84.25","69157","74.38","87.47","90.99","73.78","55.6","1","40.7","1011.95"
" ÁNCASH","OCROS","0214","80.6","7039","68.5","72.75","89.17","73.9","62.5","2","29.1","658.01"
" LA LBERTAD","OTUZCO","1306","74.77","77862","69.01","83.37","82.01","80.27","68.4","4","47.1","357.93"
" PASCO","OXAPAMPA","1903","67.3","87470","50.06","67.43","84.63","77.89","56.8","3","34.5","580.69"
" LIMA","OYON","1509","88.8","17739","87.14","93.52","88.73","74.19","78.6","2","39.8","1081.92"
" LA LBERTAD","PACASMAYO","1307","83.74","102897","85.74","92.49","89.16","79.17","79.4","2","39","934.60"
" HUÁNUCO","PACHITEA","1008","73.01","49159","40.54","59.44","73.42","87.73","68","4","35.2","346.29"
" UCAYALI","PADRE ABAD","2503","82.4","60107","61.17","75.46","84.31","72.15","55.1","1","44","589.19"
" PIURA","PAITA","2005","81.01","129892","82.79","87.1","88.2","73.62","66.9","2","48","680.30"
" ÁNCASH","PALLASCA","0215","63.07","23491","84.6","84.82","82.07","91.01","70.9","5","40.3","424.05"
" ICA","PALPA","1104","85.81","13232","82.42","82.97","89.38","78.11","60.1","1","31.8","914.79"
" AYACUCHO","PARINACOCHAS","0507","51.11","27659","79.04","84.8","83.43","88.89","87.4","2","45.1","615.58"
" CUSCO","PARURO","0810","59.06","25567","86.48","79.06","75.46","91.03","75.4","4","27.1","266.99"
" PASCO","PASCO","1901","75.01","123015","77.32","82.71","89.49","79.84","59.2","3","54.8","695.24"
" LA LBERTAD","PATAZ","1308","76.98","76103","75.44","67.91","80.26","78.17","68.1","4","42.6","668.49"
" AYACUCHO","PAUCAR DEL SARA SARA","0508","68.52","9609","90.98","87.39","85.49","90.61","83.5","2","24.7","569.81"
" CUSCO","PAUCARTAMBO","0811","57.16","42504","60.47","74.2","73.6","88.64","73.4","4","31","273.07"
" SAN MARTÍN","PICOTA","2207","80.43","40545","73.4","87.55","85.28","85.43","76.1","3","35.2","689.88"
" ICA","PISCO","1105","75.81","150744","86.61","92.44","90.74","70.61","62.7","1","41.6","903.40"
" PIURA","PIURA","2001","79.31","799321","74.35","84.58","87.97","73.59","68.6","2","65.8","813.28"
" ÁNCASH","POMABAMBA","0216","75.96","24794","87.49","72.91","71","95.75","64.2","4","39.6","392.12"
" HUÁNUCO","PUERTO INCA","1009","69.85","32538","24.14","43.03","83.74","71.92","76.4","2","26.9","597.45"
" PUNO","PUNO","2101","65.98","219494","32.47","65.96","87.71","67.81","77.4","2","60.9","714.95"
" UCAYALI","PURUS","2504","66.43","2860","2.56","37.48","73.91","91.43","81.9","3","32.4","517.76"
" LORETO","PUTUMAYO","1608","78.03","7780","3.57","26.4","81.98","91.54","96.8","4","43.2","703.62"
" CUSCO","QUISPICANCHI","0812","62.82","87430","79.42","80.94","78.4","84.18","85.5","4","42.6","425.35"
" ÁNCASH","RECUAY","0217","65.18","17185","67.27","78.88","84.88","85.89","76.5","2","41.3","569.33"
" LORETO","REQUENA","1605","77.36","58511","21.38","59.26","82.8","88.85","85.2","4","39.8","468.71"
" SAN MARTÍN","RIOJA","2208","75.24","122544","82.38","84.47","84.06","81.4","83.5","3","39.1","820.21"
" AMAZONAS","RODRIGUEZ DE MENDOZA","0106","70.56","29998","81.14","84.21","84.79","81.21","79.5","3","21.8","497.23"
" PUNO","SAN ANTONIO DE PUTINA","2110","54.92","36113","32.8","68.5","86.45","55.28","73.4","4","32.8","789.06"
" CAJAMARCA","SAN IGNACIO","0609","78.25","130620","74","75.46","81.85","87.13","77.4","5","42.4","415.44"
" CAJAMARCA","SAN MARCOS","0610","69.75","48103","79.21","82.59","78.1","89.83","91.8","5","42.9","474.80"
" SAN MARTÍN","SAN MARTIN","2209","73.49","193095","78.8","88.83","90.4","82.07","81.8","1","52","983.21"
" CAJAMARCA","SAN MIGUEL","0611","75.53","46043","68.28","73.51","83.04","90.64","83.8","5","32.8","507.27"
" CAJAMARCA","SAN PABLO","0612","63.48","21102","78.41","67.57","79.1","93.27","83","5","46.2","377.75"
" PUNO","SAN ROMAN","2111","68.9","307417","40.65","84.54","90.01","48.8","81.6","2","44.5","709.36"
" LA LBERTAD","SANCHEZ CARRION","1309","77.62","144405","60.25","68.19","75.36","87.79","48.9","5","41","429.31"
" PUNO","SANDIA","2112","73.15","50742","36.11","57.78","84.78","73.41","84.5","3","34.6","449.54"
" ÁNCASH","SANTA","0218","79.26","435807","76.99","90.85","90.81","73.7","56.2","1","57.2","862.36"
" CAJAMARCA","SANTA CRUZ","0613","69.16","37164","72.07","84.19","82.29","91.45","75.3","5","38.7","520.62"
" LA LBERTAD","SANTIAGO DE CHUCO","1310","77.75","50896","67.16","80.91","83.14","88.19","73.7","4","45.2","443.89"
" JUNÍN","SATIPO","1206","76.42","203985","37.93","63.17","83.34","75.08","73","3","47.8","473.41"
" PIURA","SECHURA","2008","68.95","79177","85.02","84.16","87.76","68.81","58","3","44.5","589.20"
" ÁNCASH","SIHUAS","0219","75.49","26971","81.58","84.92","76.67","95.76","62.8","5","31.7","308.40"
" AYACUCHO","SUCRE","0509","67.58","9445","80.09","82.34","81.77","94.6","57.7","4","21","505.52"
" PIURA","SULLANA","2006","78.92","311454","79.35","89.24","88.55","76.88","80.7","2","51.5","740.40"
" TACNA","TACNA","2301","78.32","306363","63.46","80.84","92.09","59.8","82.7","1","60.3","1005.76"
" MADRE DE DIOS","TAHUAMANU","1703","84.99","11047","63.46","84.9","88.55","73.33","72.2","1","23.7","1149.48"
" PIURA","TALARA","2007","74.47","144150","86.81","92.37","91.58","76.78","70.3","1","47.9","856.04"
" MADRE DE DIOS","TAMBOPATA","1701","71.43","111474","66.13","83.22","89.21","69.15","80.6","1","54.9","982.80"
" TACNA","TARATA","2304","82.84","6094","76.02","77.58","88.74","78.91","80.8","3","33","684.58"
" JUNÍN","TARMA","1207","75","89590","71.01","89.61","88.06","69.06","80.2","2","35.2","658.69"
" HUANCAVELICA","TAYACAJA","0907","67.81","81403","75.1","79.67","79.18","92.1","79.5","4","39.7","389.68"
" SAN MARTÍN","TOCACHE","2210","68.8","69394","60.04","83.13","85.98","76.39","45.7","2","38.4","817.25"
" LA LBERTAD","TRUJILLO","1301","79.82","970016","91.01","95.26","91.34","68.38","77.2","1","55.9","1047.30"
" TUMBES","TUMBES","2401","82.12","154962","72.38","88.61","90.18","85.99","74","1","59.8","915.27"
" LORETO","UCAYALI","1606","68.5","54637","43.12","56.46","84.81","84.11","90.4","4","56","567.52"
" CUSCO","URUBAMBA","0813","79.31","60739","89.93","87.87","85.12","72.09","75","2","36.8","689.06"
" AMAZONAS","UTCUBAMBA","0107","74.45","107237","69.2","78.09","83.15","86.69","73.9","3","57.6","776.48"
" AYACUCHO","VICTOR FAJARDO","0510","82.55","20109","89.08","82.53","78.24","94.27","65.9","5","25.6","440.37"
" AYACUCHO","VILCASHUAMAN","0511","68.52","16861","81.56","78.99","76.24","94.28","48.6","4","34.4","373.33"
" LA LBERTAD","VIRU","1312","76.34","92324","86.11","88.64","85.47","73.97","70.7","3","50.8","969.70"
" HUÁNUCO","YAROWILCA","1011","75.98","19897","40.26","57.43","78.09","94.86","72.7","4","36.7","283.04"
" JUNÍN","YAULI","1208","78.93","40390","77.25","77.53","92.92","74.79","65.6","1","36.3","975.62"
" LIMA","YAUYOS","1510","80.12","20463","73.97","88.35","90.75","76.02","79.8","2","37.4","734.26"
" ÁNCASH","YUNGAY","0220","74.44","50841","87.49","79.69","75.3","88.08","65.6","4","47.7","397.33"
" PUNO","YUNGUYO","2113","74.17","36939","81.04","83.74","79.6","58.79","79","4","33.9","376.32"
" TUMBES","ZARUMILLA","2403","73.66","48844","77.74","88.34","88.06","80.19","70.5","1","47.5","788.93"
