"Provincia","Sí, se encuentra afiliado a algún seguro","No se encuentra afiliado a ningún seguro","Total","","","","",""
" Piura, provincia: Talara","76.78%","23.22%","100.00%","","","","",""
" Callao, provincia: Callao","77.84%","22.16%","100.00%","","","","",""
" Puno, provincia: Azángaro","80.23%","19.77%","100.00%","","","","",""
" Puno, provincia: Carabaya","70.79%","29.21%","100.00%","","","","",""
" Puno, provincia: Chucuito","65.83%","34.17%","100.00%","","","","",""
" Puno, provincia: El Collao","68.78%","31.22%","100.00%","","","","",""
" Puno, provincia: Huancané","74.44%","25.56%","100.00%","","","","",""
" Puno, provincia: Lampa","76.06%","23.94%","100.00%","","","","",""
" Puno, provincia: Melgar","79.98%","20.02%","100.00%","","","","",""
" Puno, provincia: Moho","77.35%","22.65%","100.00%","","","","",""
" Puno, provincia: Puno","67.81%","32.19%","100.00%","","","","",""
" Puno, provincia: San Antonio de Putina","55.28%","44.72%","100.00%","","","","",""
" Puno, provincia: San Román","48.80%","51.20%","100.00%","","","","",""
" Puno, provincia: Sandia","73.41%","26.59%","100.00%","","","","",""
" Puno, provincia: Yunguyo","58.79%","41.21%","100.00%","","","","",""
" San Martín, provincia: Bellavista","85.07%","14.93%","100.00%","","","","",""
" San Martín, provincia: El Dorado","90.57%","9.43%","100.00%","","","","",""
" San Martín, provincia: Huallaga","87.83%","12.17%","100.00%","","","","",""
" San Martín, provincia: Lamas","90.29%","9.71%","100.00%","","","","",""
" San Martín, provincia: Mariscal Cáceres","81.72%","18.28%","100.00%","","","","",""
" San Martín, provincia: Moyobamba","82.35%","17.65%","100.00%","","","","",""
" San Martín, provincia: Picota","85.43%","14.57%","100.00%","","","","",""
" San Martín, provincia: Rioja","81.40%","18.60%","100.00%","","","","",""
" San Martín, provincia: San Martín","82.07%","17.93%","100.00%","","","","",""
" San Martín, provincia: Tocache","76.39%","23.61%","100.00%","","","","",""
" Tacna, provincia: Candarave","68.55%","31.45%","100.00%","","","","",""
" Tacna, provincia: Jorge Basadre","70.25%","29.75%","100.00%","","","","",""
" Tacna, provincia: Tacna","59.80%","40.20%","100.00%","","","","",""
" Tacna, provincia: Tarata","78.91%","21.09%","100.00%","","","","",""
" Tumbes, provincia: Contralmirante Villar","82.35%","17.65%","100.00%","","","","",""
" Tumbes, provincia: Tumbes","85.99%","14.01%","100.00%","","","","",""
" Tumbes, provincia: Zarumilla","80.19%","19.81%","100.00%","","","","",""
" Ucayali, provincia: Atalaya","78.53%","21.47%","100.00%","","","","",""
" Ucayali, provincia: Coronel Portillo","74.77%","25.23%","100.00%","","","","",""
" Ucayali, provincia: Padre Abad","72.15%","27.85%","100.00%","","","","",""
" Ucayali, provincia: Purús","91.43%","8.57%","100.00%","","","","",""
" Total","75.47%","24.53%","100.00%","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
