"","","","","","","","","","",""
"","","","","","","","","","",""
"Provincia","PIA","PIM","Certificación","Compromiso Anual","Ejecución","","","Avance % ","",""
"","","","","","Atención de Compromiso Mensual ","Devengado ","Girado ","","",""
"0407: ISLAY","77,265,751","222,838,981","203,746,324","169,969,693","145,608,929","145,425,711","145,403,711","  65.3","41",""
"0408: LA UNION","22,455,589","116,633,566","107,720,167","91,802,321","81,787,728","70,808,487","70,781,296","  60.7","42",""
"0501: HUAMANGA","151,503,223","362,163,285","312,116,920","294,912,091","265,625,866","260,994,740","260,928,624","  72.1","43",""
"0502: CANGALLO","35,154,902","126,401,164","122,135,288","112,623,086","105,435,127","68,850,503","68,844,977","  54.5","44",""
"0503: HUANCA SANCOS","6,227,445","24,428,796","23,036,170","19,577,608","19,367,503","18,099,518","18,098,918","  74.1","45",""
"0504: HUANTA","56,324,327","245,724,879","227,657,550","211,424,356","207,535,391","191,465,968","191,450,981","  77.9","46",""
"0505: LA MAR","63,112,656","288,706,152","271,617,382","250,176,610","238,482,836","214,704,719","214,152,911","  74.4","47",""
"0506: LUCANAS","35,823,538","209,876,815","187,505,048","152,883,262","146,018,046","133,060,752","133,051,370","  63.4","48",""
"0507: PARINACOCHAS","22,232,033","81,907,755","75,386,735","73,728,064","71,813,313","71,624,709","71,620,918","  87.4","49",""
"0508: PAUCAR DEL SARA SARA","13,993,304","77,681,648","73,283,528","67,239,156","65,216,820","64,877,085","64,846,085","  83.5","50",""
"0509: SUCRE","8,910,593","46,112,166","43,228,438","27,218,762","26,774,794","26,586,696","26,495,921","  57.7","51",""
"0510: VICTOR FAJARDO","15,706,498","124,598,702","116,918,613","98,308,388","83,360,544","82,060,481","82,064,724","  65.9","52",""
"0511: VILCASHUAMAN","32,429,246","79,615,515","72,295,681","63,247,949","45,110,385","38,727,679","38,677,107","  48.6","53",""
"0601: CAJAMARCA","180,057,848","584,390,457","527,709,950","443,527,050","425,589,421","364,759,025","364,754,646","  62.4","54",""
"0602: CAJABAMBA","51,866,689","169,961,415","159,977,344","145,811,289","139,844,251","134,456,197","134,455,041","  79.1","55",""
"0603: CELENDIN","46,551,585","185,911,356","170,057,869","156,487,258","144,596,613","136,328,411","136,316,621","  73.3","56",""
"0604: CHOTA","124,121,760","380,540,126","355,459,105","316,228,027","284,488,963","249,569,201","249,551,225","  65.6","57",""
"0605: CONTUMAZA","15,225,538","83,924,710","77,558,044","73,401,404","72,162,601","62,521,216","62,520,505","  74.5","58",""
"0606: CUTERVO","111,683,795","256,911,995","245,184,546","210,448,815","207,905,081","202,394,261","202,355,839","  78.8","59",""
"0607: HUALGAYOC","77,491,380","215,285,967","203,581,085","169,262,480","160,721,540","160,494,321","160,476,881","  74.5","60",""
"0608: JAEN","102,739,983","320,640,143","300,947,101","281,383,686","276,398,841","251,291,052","251,235,231","  78.4","61",""
"0609: SAN IGNACIO","106,219,992","317,154,419","294,924,050","284,161,391","278,515,065","245,599,176","245,597,816","  77.4","62",""
"0610: SAN MARCOS","33,736,398","101,959,815","97,548,232","96,595,344","96,084,357","93,572,728","93,572,178","  91.8","63",""
"0611: SAN MIGUEL","36,473,178","142,541,030","138,731,378","131,233,208","125,237,829","119,410,157","119,405,120","  83.8","64",""
"0612: SAN PABLO","13,363,046","28,781,925","27,495,332","26,690,899","26,508,057","23,901,924","23,901,924","  83.0","65",""
"0613: SANTA CRUZ","67,298,672","182,574,033","175,663,106","161,505,114","154,533,605","137,468,894","137,467,887","  75.3","66",""
"0701: CALLAO","773,043,890","1,041,746,101","969,617,079","887,169,774","874,252,914","861,618,755","861,615,133","  82.7","67",""
"0801: CUSCO","315,318,509","669,769,424","550,153,481","519,972,947","496,483,440","488,273,301","488,229,261","  72.9","68",""
"0802: ACOMAYO","26,631,490","77,632,958","70,163,178","61,842,236","61,359,041","60,471,829","60,463,256","  77.9","69",""
"0803: ANTA","72,998,030","212,327,096","190,376,763","175,813,360","173,398,226","168,063,624","168,051,856","  79.2","70",""
"0804: CALCA","95,056,505","267,870,135","245,576,880","224,431,300","220,449,883","209,776,067","209,770,235","  78.3","71",""
"0805: CANAS","47,727,848","144,270,681","137,734,785","128,327,167","128,194,182","123,480,654","123,456,525","  85.6","72",""
