"Provincia","Sí sabe leer y escribir","No sabe leer y escribir","Total","","","","",""
" Lima, provincia: Canta","90.19%","9.81%","100.00%","","","","",""
" Lima, provincia: Huaral","90.47%","9.53%","100.00%","","","","",""
" Lima, provincia: Huarochirí","91.30%","8.70%","100.00%","","","","",""
" Lima, provincia: Huaura","91.02%","8.98%","100.00%","","","","",""
" Lima, provincia: Lima","93.40%","6.60%","100.00%","","","","",""
" Lima, provincia: Oyón","88.73%","11.27%","100.00%","","","","",""
" Lima, provincia: Yauyos","90.75%","9.25%","100.00%","","","","",""
" Loreto, provincia: Alto Amazonas","82.45%","17.55%","100.00%","","","","",""
" Loreto, provincia: Datem del Marañón","75.14%","24.86%","100.00%","","","","",""
" Loreto, provincia: Loreto","78.07%","21.93%","100.00%","","","","",""
" Loreto, provincia: Mariscal Ramón Castilla","80.88%","19.12%","100.00%","","","","",""
" Loreto, provincia: Maynas","88.27%","11.73%","100.00%","","","","",""
" Loreto, provincia: Putumayo","81.98%","18.02%","100.00%","","","","",""
" Loreto, provincia: Requena","82.80%","17.20%","100.00%","","","","",""
" Loreto, provincia: Ucayali","84.81%","15.19%","100.00%","","","","",""
" Madre de Dios, provincia: Manu","86.01%","13.99%","100.00%","","","","",""
" Madre de Dios, provincia: Tahuamanu","88.55%","11.45%","100.00%","","","","",""
" Madre de Dios, provincia: Tambopata","89.21%","10.79%","100.00%","","","","",""
" Moquegua, provincia: General Sánchez Cerro","88.34%","11.66%","100.00%","","","","",""
" Moquegua, provincia: Ilo","92.55%","7.45%","100.00%","","","","",""
" Moquegua, provincia: Mariscal Nieto","90.61%","9.39%","100.00%","","","","",""
" Pasco, provincia: Daniel Alcides Carrión","86.39%","13.61%","100.00%","","","","",""
" Pasco, provincia: Oxapampa","84.63%","15.37%","100.00%","","","","",""
" Pasco, provincia: Pasco","89.49%","10.51%","100.00%","","","","",""
" Piura, provincia: Ayabaca","77.90%","22.10%","100.00%","","","","",""
" Piura, provincia: Huancabamba","76.15%","23.85%","100.00%","","","","",""
" Piura, provincia: Morropón","83.59%","16.41%","100.00%","","","","",""
" Piura, provincia: Paita","88.20%","11.80%","100.00%","","","","",""
" Piura, provincia: Piura","87.97%","12.03%","100.00%","","","","",""
" Piura, provincia: Sechura","87.76%","12.24%","100.00%","","","","",""
" Piura, provincia: Sullana","88.55%","11.45%","100.00%","","","","",""
" Piura, provincia: Talara","91.58%","8.42%","100.00%","","","","",""
" Callao, provincia: Callao","92.88%","7.12%","100.00%","","","","",""
" Puno, provincia: Azángaro","82.37%","17.63%","100.00%","","","","",""
" Puno, provincia: Carabaya","83.60%","16.40%","100.00%","","","","",""
" Puno, provincia: Chucuito","85.99%","14.01%","100.00%","","","","",""
" Puno, provincia: El Collao","82.96%","17.04%","100.00%","","","","",""
" Puno, provincia: Huancané","80.78%","19.22%","100.00%","","","","",""
" Puno, provincia: Lampa","85.27%","14.73%","100.00%","","","","",""
" Puno, provincia: Melgar","85.50%","14.50%","100.00%","","","","",""
" Puno, provincia: Moho","80.64%","19.36%","100.00%","","","","",""
" Puno, provincia: Puno","87.71%","12.29%","100.00%","","","","",""
" Puno, provincia: San Antonio de Putina","86.45%","13.55%","100.00%","","","","",""
" Puno, provincia: San Román","90.01%","9.99%","100.00%","","","","",""
" Puno, provincia: Sandia","84.78%","15.22%","100.00%","","","","",""
" Puno, provincia: Yunguyo","79.60%","20.40%","100.00%","","","","",""
" San Martín, provincia: Bellavista","84.32%","15.68%","100.00%","","","","",""
" San Martín, provincia: El Dorado","81.26%","18.74%","100.00%","","","","",""
" San Martín, provincia: Huallaga","85.80%","14.20%","100.00%","","","","",""
" San Martín, provincia: Lamas","82.66%","17.34%","100.00%","","","","",""
" San Martín, provincia: Mariscal Cáceres","86.15%","13.85%","100.00%","","","","",""
" San Martín, provincia: Moyobamba","85.73%","14.27%","100.00%","","","","",""
" San Martín, provincia: Picota","85.28%","14.72%","100.00%","","","","",""
" San Martín, provincia: Rioja","84.06%","15.94%","100.00%","","","","",""
" San Martín, provincia: San Martín","90.40%","9.60%","100.00%","","","","",""
" San Martín, provincia: Tocache","85.98%","14.02%","100.00%","","","","",""
" Tacna, provincia: Candarave","86.56%","13.44%","100.00%","","","","",""
" Tacna, provincia: Jorge Basadre","92.32%","7.68%","100.00%","","","","",""
" Tacna, provincia: Tacna","92.09%","7.91%","100.00%","","","","",""
" Tacna, provincia: Tarata","88.74%","11.26%","100.00%","","","","",""
" Tumbes, provincia: Contralmirante Villar","89.52%","10.48%","100.00%","","","","",""
" Tumbes, provincia: Tumbes","90.18%","9.82%","100.00%","","","","",""
" Tumbes, provincia: Zarumilla","88.06%","11.94%","100.00%","","","","",""
" Ucayali, provincia: Atalaya","74.07%","25.93%","100.00%","","","","",""
" Ucayali, provincia: Coronel Portillo","88.63%","11.37%","100.00%","","","","",""
" Ucayali, provincia: Padre Abad","84.31%","15.69%","100.00%","","","","",""
" Ucayali, provincia: Purús","73.91%","26.09%","100.00%","","","","",""
" Total","88.94%","11.06%","100.00%","","","","",""
"","","","","","","","",""
"No Aplica :","00 000 001 435 824","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
